datetime,close,open,high,low,volume,
"Dec 04, 2019",57,57.17,57.33,57,395.69K,
"Dec 03, 2019",57.3,57.67,57.67,57,244.37K,
"Dec 02, 2019",57.33,57.33,58,57.33,525.97K,
"Nov 29, 2019",58,57.37,58.3,57.3,3.25M,
"Nov 28, 2019",57.17,56.67,58.17,56.67,1.56M,
"Nov 27, 2019",55.93,56,56.17,55.7,667.59K,
"Nov 26, 2019",56,55.67,56.63,55.57,561.97K,
"Nov 25, 2019",55.83,56.23,56.5,55.63,510.53K,
"Nov 22, 2019",56.27,56.37,56.6,56,572.79K,
"Nov 21, 2019",56.4,57.47,57.47,56.4,467.91K,
"Nov 20, 2019",56.67,57.37,58.1,56.63,1.06M,
"Nov 19, 2019",57.37,57.63,58.1,57.1,1.30M,
"Nov 18, 2019",57.63,58.33,58.97,57,1.28M,
"Nov 15, 2019",56.6,56.63,56.63,56.33,1.02M,
"Nov 14, 2019",56.57,56.67,56.8,56.5,2.01M,
"Nov 13, 2019",56.67,56.23,56.8,56,610.92K,
"Nov 08, 2019",55.93,55.2,56,54.87,1.39M,
"Nov 07, 2019",55.2,56,56,55,1.53M,
"Nov 06, 2019",55.97,56.67,56.8,55.73,791.19K,
"Nov 05, 2019",56.33,57,57,56.3,485.41K,
"Nov 04, 2019",57,57,57.33,56.67,316.01K,
"Nov 01, 2019",56.77,56.63,57.33,56.63,1.65M,
"Oct 31, 2019",56.6,56.37,56.67,56.37,1.04M,
"Oct 30, 2019",56.47,56.53,56.67,56.33,557.27K,
"Oct 29, 2019",56.53,56.33,56.67,56.23,671.16K,
"Oct 28, 2019",56.27,56.5,56.5,56,425.98K,
"Oct 25, 2019",56.33,56.2,56.33,56,577.83K,
"Oct 24, 2019",56.27,56.4,56.6,56.17,2.04M,
"Oct 23, 2019",56.17,56.3,56.3,55.97,293.38K,
"Oct 22, 2019",56.17,55.63,56.47,55.33,2.48M,
"Oct 21, 2019",55.63,55.17,56.63,55.17,717.19K,
"Oct 18, 2019",55.17,55.33,55.33,54.67,558.39K,
"Oct 17, 2019",55.33,55,55.47,55,65.42K,
"Oct 16, 2019",55.47,55.67,56.2,54.67,1.16M,
"Oct 15, 2019",55.67,55.83,55.83,54.5,462.26K,
"Oct 14, 2019",55.83,55.33,56.6,55,549.40K,
"Oct 11, 2019",54.93,55.33,55.33,54.83,482.55K,
"Oct 10, 2019",55,55.3,56,54.5,935.28K,
"Oct 09, 2019",55.17,53.3,55.23,52.67,1.41M,
"Oct 08, 2019",52.33,52.63,52.67,52.17,255.10K,
"Oct 07, 2019",52.17,51.83,52.67,51.83,53.00K,
"Oct 04, 2019",51,51,51.8,50.97,881.62K,
"Oct 03, 2019",50.97,51.63,51.63,50.93,233.90K,
"Oct 02, 2019",51,51.67,51.67,50.87,288.20K,
"Oct 01, 2019",51.43,51.17,51.97,50.77,94.45K,
"Sep 30, 2019",51,51,52.17,50.7,785.44K,
"Sep 27, 2019",51,51,52.3,50.83,223.79K,
"Sep 26, 2019",50.93,50.7,51,50.7,198.37K,
"Sep 25, 2019",50.77,51.33,52.1,50.7,379.48K,
"Sep 24, 2019",51.17,51.63,51.63,51.17,199.60K,
"Sep 23, 2019",51.53,52.33,52.33,51.33,170.57K,
"Sep 20, 2019",51.63,52.5,52.5,51.63,3.60M,
"Sep 19, 2019",52.57,52,53.5,52,656.97K,
